Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,26.709999,27.299999,26.280001,27.120001,25.892075,389600
2017-04-03,27.040001,27.129999,26.059999,26.860001,25.643845,511700
2017-04-10,26.959999,27.740000,26.959999,27.059999,25.834787,378400
2017-04-17,27.010000,27.709999,27.010000,27.639999,26.388527,304300
2017-04-24,27.760000,28.959999,27.010000,27.350000,26.111658,765100
2017-05-01,27.330000,28.070000,26.920000,27.250000,26.016188,383600
2017-05-08,27.240000,27.590000,26.629999,26.709999,25.500637,306800
2017-05-15,26.799999,27.139999,25.270000,26.080000,24.944916,591500
2017-05-22,26.100000,26.360001,25.780001,26.219999,25.078821,296000
2017-05-29,26.290001,27.379999,25.920000,26.910000,25.738789,391100
2017-06-05,26.900000,26.930000,26.100000,26.559999,25.404024,326700
2017-06-12,26.530001,27.120001,26.530001,26.920000,25.748358,540200
2017-06-19,26.990000,27.160000,26.400000,26.629999,25.470980,438500
2017-06-26,26.639999,27.080000,26.610001,26.959999,25.786612,304900
2017-07-03,27.000000,27.420000,26.510000,26.879999,25.710098,286900
2017-07-10,26.870001,27.209999,26.200001,26.700001,25.537928,318300
2017-07-17,26.690001,27.049999,26.110001,26.389999,25.241423,471300
2017-07-24,26.379999,27.059999,23.590000,24.910000,23.825838,1232300
2017-07-31,24.900000,25.080000,24.340000,24.620001,23.548464,634400
2017-08-07,24.610001,24.910000,23.730000,24.219999,23.165869,430100
2017-08-14,24.270000,24.650000,23.670000,24.150000,23.146111,344000
2017-08-21,24.139999,24.959999,23.770000,24.389999,23.376137,457300
2017-08-28,24.420000,24.580000,23.910000,24.299999,23.289881,635200
2017-09-04,24.280001,24.500000,23.150000,23.309999,22.341030,564600
2017-09-11,23.370001,24.469999,23.370001,23.920000,22.925671,717800
2017-09-18,23.950001,25.129999,23.889999,24.969999,23.932024,737500
2017-09-25,25.000000,26.059999,24.959999,25.600000,24.535835,564300
2017-10-02,25.620001,26.160000,25.469999,25.530001,24.468750,443700
2017-10-09,25.469999,25.709999,25.270000,25.320000,24.267479,215100
2017-10-16,25.299999,25.510000,24.700001,24.709999,23.682835,392200
2017-10-23,24.660000,25.959999,23.600000,25.580000,24.516670,877900
2017-10-30,25.610001,26.059999,25.219999,25.740000,24.670019,388300
2017-11-06,25.620001,25.840000,24.879999,24.889999,23.855350,338500
2017-11-13,24.850000,25.280001,24.459999,24.969999,24.003950,513300
2017-11-20,24.959999,25.200001,24.549999,24.740000,23.782848,231400
2017-11-27,24.740000,26.030001,24.740000,25.670000,24.676868,481500
2017-12-04,25.889999,26.780001,25.709999,26.629999,25.599730,864200
2017-12-11,26.639999,26.660000,25.830000,26.209999,25.195978,487500
2017-12-18,26.379999,26.500000,25.530001,25.750000,24.753773,480300
2017-12-25,25.770000,26.170000,25.590000,25.709999,24.715322,203000
2018-01-01,25.719999,26.709999,25.570000,26.420000,25.397854,425200
2018-01-08,26.420000,26.809999,26.010000,26.600000,25.570890,502700
2018-01-15,26.660000,27.139999,25.709999,26.110001,25.099852,586400
2018-01-22,26.080000,27.670000,25.790001,26.990000,25.945801,572200
2018-01-29,27.000000,27.010000,26.080000,26.290001,25.272886,1071000
2018-02-05,26.230000,26.580000,25.150000,25.770000,24.773006,693700
2018-02-12,25.690001,27.900000,25.260000,27.639999,26.647997,582700
2018-02-19,27.490000,27.830000,27.080000,27.510000,26.522665,281300
2018-02-26,27.799999,28.150000,27.139999,27.850000,26.850464,561800
2018-03-05,27.850000,28.270000,27.450001,28.100000,27.091490,447400
2018-03-12,28.290001,28.570000,27.940001,28.410000,27.390360,680800
2018-03-19,28.410000,28.770000,27.430000,27.440001,26.455175,387300
